Timestamp,A_Bangkok,B_GenZ,C_OnlinePurchase,Gender,Age,Education,Occupation,Income,BuyFrequency,DecisionTime,StoreType,PriceRange,InfoSource,Budget,IV1_1_Accuracy,IV1_2_DetailedReview,IV1_3_BrandComparison,IV1_4_NewProducts,IV1_5_FasterDecision,IV2_1_FunContent,IV2_2_PresentationStyle,IV2_3_MakeupInspiration,IV2_4_CreativeInfluencer,IV3_1_Knowledge,IV3_2_RealisticResults,IV3_3_SponsoredDisclosure,IV4_1_AccurateInfo,IV4_2_HonestReview,IV4_3_ProductDisclosure,IV4_4_ProsAndCons,IV4_5_BeautyImage,IV5_1_PersonalityFit,IV5_2_ReviewSkill,IV5_3_MakeupStyle,IV5_4_Approachable,IV5_5_CredibleImage,IV6_1_SkinType,IV6_2_Lifestyle,IV6_3_CosmeticPreference,IV6_4_PriceLevel,DV1_FutureIntent,DV2_TopChoice,DV3_CredibilityDriven,DV4_ReviewDriven,DV5_Repurchase,Comments
2026/04/09 12:59:00,1,1,1,1,2,1,1,1,2,1,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่มีครับ
2026/04/10 14:42:51,1,1,1,1,2,1,1,3,4,4,2,3,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,..
2026/04/21 12:58:27,0,1,1,1,2,1,1,1,2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-
2026/04/21 13:02:55,0,1,0,1,1,2,1,2,1,4,1,1,1,1,4,4,4,4,4,4,3,3,4,3,3,4,3,5,4,3,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,-
2026/04/21 13:05:16,0,1,1,2,1,1,1,2,3,1,1,2,1,2,5,4,4,5,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,-
2026/04/21 13:08:07,0,1,1,2,2,2,1,1,1,2,1,1,1,2,3,5,5,5,3,5,5,5,4,5,4,4,5,5,5,5,1,5,5,5,3,1,1,1,5,3,3,5,3,4,4,-
2026/04/21 13:08:53,0,1,1,2,1,1,1,1,3,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.
2026/04/21 13:38:59,1,1,1,2,2,1,1,2,3,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,เริ่ดเลยล่ะ
2026/04/21 14:11:48,0,1,1,2,3,2,2,3,3,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่มี
2026/04/21 14:24:43,0,1,1,2,3,2,2,2,3,2,1,1,1,1,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-
2026/04/21 14:27:25,0,1,1,2,3,1,2,2,3,2,1,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,-
